pid,uid,helpN,helpD,score,time
213320322,447284190,5,6,4.000000,1089417600
212533870,475202520,2,2,5.000000,1258156800
208732779,446432133,4,4,5.000000,1064448000
204866143,413336440,2,2,4.000000,988588800
203752013,427557749,3,17,1.000000,1098835200
218432122,471860187,2,3,5.000000,1180569600
205980269,205914897,1,1,4.000000,1003795200
204866140,205914897,1,2,1.000000,998956800
201720402,382534495,0,3,3.000000,1052784000
212402793,459604931,9,14,5.000000,1139443200
225772201,458556344,1,1,3.000000,1246665600
220463760,458097553,3,4,5.000000,1126742400
198836804,427492239,1,1,5.000000,1334966400
214106754,477234123,4,4,4.000000,1098748800
213385813,471925704,0,0,5.000000,1353024000
206504536,390071159,2,2,5.000000,1276992000
221184669,205914897,1,2,5.000000,1121040000
221184669,462357458,0,0,5.000000,1359849600
222102168,413533061,0,4,2.000000,1290902400
212664932,422314874,1,1,5.000000,1170460800
213320302,428934007,29,34,3.000000,1135641600
199950915,462488533,0,0,5.000000,1169251200
199819841,427295669,4,4,5.000000,1160611200
212140654,451740599,5,5,2.000000,1116460800
203096654,205914897,1,3,2.000000,1006300800
200737345,456393620,4,6,3.000000,1079049600
204014171,413205403,0,2,5.000000,974332800
200213073,405799832,1,1,5.000000,1247529600
205521501,486736872,0,5,2.000000,1149897600
198836818,470483917,8,15,1.000000,967075200
197132856,461112240,1,3,4.000000,1115769600
204604002,425722782,14,17,4.000000,964224000
203948632,205914897,1,1,4.000000,1081382400
203883095,480642007,4,6,5.000000,998352000
204014169,448660347,16,16,5.000000,1178841600
228065959,475268040,1,2,5.000000,1221696000
203817557,484049874,2,2,5.000000,1036454400
201785945,205914897,1,1,5.000000,1071100800
201327174,422904685,3,5,1.000000,1031270400
195625525,205914897,1,5,5.000000,1101168000
220988058,418186096,0,1,4.000000,1248739200
199230013,477037557,0,0,3.000000,1214006400
214631041,457966538,0,0,5.000000,1212537600
211878510,409011076,1,1,5.000000,1089417600
200606289,433652593,0,0,4.000000,1227139200
200147529,466093008,3,4,5.000000,1030320000
200475212,467272588,0,1,5.000000,1273536000
218759820,470746102,606,1041,5.000000,1139356800
223281813,443483026,4,7,5.000000,1180483200
205914732,205914897,3,6,5.000000,1126483200
205914732,205914897,2,3,5.000000,985824000
204800602,480576455,1,1,5.000000,1219795200
216859251,475464663,3,7,5.000000,1163116800
186647047,432604060,1,1,3.000000,1338854400
203817545,461964255,3,3,5.000000,949017600
205259337,436274053,8,13,5.000000,1127952000
218366621,466486243,8,8,5.000000,1278806400
201458245,205914897,0,0,5.000000,937785600
202244701,454624198,0,0,5.000000,997488000
223412881,472777684,3,3,5.000000,1204416000
201917015,458949600,0,0,4.000000,1345507200
186647046,205914897,1,2,5.000000,921110400
211485312,453641137,0,0,4.000000,1360713600
211550849,514589748,0,0,4.000000,1339632000
220856989,418251632,2,4,5.000000,1309910400
201851476,455934895,1,2,1.000000,1235779200
210436719,485098479,1,2,5.000000,1044230400
197919309,423232406,11,12,3.000000,1322524800
186647049,205914897,1,1,5.000000,1025049600
201130567,414843792,2,2,5.000000,1030147200
200999493,407831445,0,0,5.000000,1320969600
202703455,405472124,0,0,5.000000,1107388800
213254751,447153054,0,1,5.000000,1357171200
209846896,470680526,0,0,5.000000,1361232000
204276311,473301973,6,8,5.000000,1116720000
185205254,418382775,1,2,4.000000,1103328000
207749717,449577895,0,0,5.000000,1359590400
200147528,437519282,2,3,3.000000,1109894400
213451356,423822219,3,4,5.000000,1069545600
202834523,417530721,5,6,5.000000,1156291200
203620966,408159102,1,1,5.000000,1194048000
222691997,398197624,0,0,5.000000,1173312000
215745148,480904116,1,5,2.000000,1144195200
215745148,481559490,0,0,5.000000,1212537600
207487578,482870250,0,0,5.000000,1316995200
229048984,468779961,8,10,5.000000,970790400
225641129,467796966,0,1,5.000000,1273449600
207159913,470680547,4,6,5.000000,1200096000
204604018,205914897,0,0,5.000000,917827200
185926154,502137891,0,0,5.000000,1356739200
205259373,442499985,1,1,5.000000,1273708800
208339566,478217170,1,7,2.000000,1193184000
204210780,463406029,3,9,3.000000,1021420800
200278612,448463787,28,33,3.000000,1043539200
202310220,205914897,5,5,4.000000,933897600
206832244,483525610,0,0,5.000000,1023926400
200802908,466420694,8,25,1.000000,1213056000
200868445,465437616,7,11,2.000000,1090972800
201851481,205914897,0,1,4.000000,1029196800
204407374,432800676,0,0,5.000000,1235001600
189334061,410846096,2,3,4.000000,1173312000
198902334,467076070,0,1,5.000000,1065139200
202441293,459735976,0,0,5.000000,1028332800
204210791,479790046,0,3,5.000000,1360972800
204210791,205914897,0,0,5.000000,923529600
201065036,456590278,110,118,5.000000,1037664000
205783655,477430755,0,0,4.000000,1354752000
206504562,429065108,0,0,5.000000,1348185600
200344127,205914897,6,8,5.000000,1078358400
214368888,477234141,0,2,3.000000,1225411200
201196108,507118580,0,1,3.000000,1338854400
199492142,434897811,2,2,5.000000,969321600
201261641,399639415,0,0,4.000000,1354406400
205783652,421790599,1,1,2.000000,1153526400
206242411,472581068,11,26,1.000000,969235200
206045800,497812504,0,2,5.000000,1025481600
199754308,476447744,0,0,5.000000,1247011200
201523790,412025740,0,0,5.000000,1167436800
229245614,486736877,0,1,3.000000,1332547200
194380335,205914897,6,6,3.000000,1005782400
209977973,445645731,4,5,5.000000,1129766400
219349648,503448596,0,0,5.000000,1311120000
187367946,418644836,17,17,3.000000,930268800
209453666,489096185,6,6,5.000000,1315872000
220201614,459604910,8,71,1.000000,1133481600
184484355,412877716,1,1,4.000000,971654400
205587048,205914897,0,0,5.000000,920505600
202637906,205914897,0,0,3.000000,933465600
206570091,422183840,3,13,1.000000,977875200
208929358,481756120,2,4,4.000000,1301184000
210961001,479003638,0,0,5.000000,1256256000
203096663,476513269,6,7,5.000000,995328000
204669517,205914897,0,0,5.000000,930355200
209977944,437650361,4,7,5.000000,1016755200
188613161,421266278,0,0,5.000000,1104710400
201654846,475399132,0,0,4.000000,1272672000
193856034,392168303,0,0,5.000000,1173916800
203752027,205914897,1,1,5.000000,928368000
202900050,466813883,1,1,5.000000,1222041600
205783647,469435350,9,32,2.000000,1070496000
210109013,496239590,0,0,5.000000,1224547200
201785919,435487652,1,3,1.000000,1357948800
210567800,449905532,49,58,5.000000,1106870400
204079712,421266334,1,2,4.000000,992390400
212664922,508036076,11,12,1.000000,1120521600
203555426,490865668,0,0,5.000000,1169683200
204407391,484639738,2,2,5.000000,1233014400
204341854,442368971,2,2,5.000000,1226793600
206045806,450495378,0,2,5.000000,1303257600
201916999,409535379,1,2,4.000000,1343692800
211092101,466551739,1,2,4.000000,1069718400
202179145,435159940,2,3,4.000000,1123891200
202113608,462947278,1,2,4.000000,1317686400
210633311,412812091,0,0,5.000000,1329436800
204014180,485360619,0,0,5.000000,1354320000
205062744,451675049,0,1,3.000000,1343865600
190382602,480510945,0,0,5.000000,1345766400
224723586,396166009,12,12,5.000000,1097798400
210698867,496305117,0,0,5.000000,1221177600
202900049,460194735,2,2,5.000000,1231804800
195887658,404554643,2,3,3.000000,1109203200
228262552,474612715,0,0,3.000000,1353283200
207684206,450495393,3,3,2.000000,1200441600
194576913,440140682,0,0,3.000000,1288137600
194904618,205914897,0,0,5.000000,921974400
216138372,445186955,0,0,5.000000,1295395200
195887673,469959575,1,1,4.000000,1023494400
183042553,449250214,5,6,5.000000,1113868800
193856026,418710418,3,3,4.000000,1275350400
199164479,384107314,20,21,3.000000,1186963200
191496753,205914897,0,6,5.000000,920592000
195297816,443286405,2,3,3.000000,1282089600
198771256,428475265,0,0,5.000000,1067472000
198181444,399508304,1,6,4.000000,974592000
197329463,467403694,1,1,5.000000,949881600
208601690,400425870,0,0,5.000000,1340064000
200016457,455345069,0,0,5.000000,1055894400
199950920,462619574,2,4,5.000000,1258070400
230163113,449381279,0,0,5.000000,1330819200
199819846,205914897,0,0,5.000000,920332800
199426623,205914897,0,0,5.000000,919123200
206832189,205914897,0,0,4.000000,1080950400
199754318,454886291,1,3,5.000000,1219276800
200016455,473760744,2,2,5.000000,1297641600
199164474,412156847,0,0,5.000000,1322352000
199361085,205914897,0,0,5.000000,920246400
220791435,476972003,0,0,4.000000,1240790400
199098937,205914897,0,1,5.000000,1005177600
200606288,491652098,0,0,5.000000,1358467200
200344140,428475244,1,1,4.000000,1192233600
199098936,451806146,0,0,5.000000,1308528000
199623232,205914897,2,32,1.000000,941760000
190251534,438502309,8,23,1.000000,1131667200
188088847,396755815,2,2,5.000000,1043884800
212927084,477627359,3,3,4.000000,1219449600
198246954,477627359,1,1,5.000000,960681600
199819842,205914897,0,0,5.000000,900374400
199557694,205914897,0,3,5.000000,1077667200
198115880,424674232,2,3,5.000000,1126828800
200933970,205914897,3,3,5.000000,942710400
202768975,398263135,3,4,5.000000,1003968000
225903246,439681969,2,4,4.000000,1196899200
200409683,436405119,0,0,5.000000,1359331200
215024228,416088967,1,3,2.000000,1325721600
215286402,494470168,1,1,5.000000,1294963200
196543023,205914897,0,0,5.000000,923529600
196608560,454689713,0,0,5.000000,1358812800
201785943,463799220,0,3,1.000000,944092800
201851480,458359734,1,1,5.000000,1012176000
203227736,483787774,0,0,5.000000,1302652800
201130573,436142968,0,0,5.000000,1357430400
201720406,429392764,0,1,4.000000,1356912000
206570045,205914897,5,29,4.000000,1074297600
231867079,416809865,8,8,4.000000,1186963200
206963266,440730501,14,16,5.000000,1079136000
199950906,479200194,0,0,5.000000,1318204800
207094381,453575603,8,13,1.000000,962150400
192873005,205914897,0,0,5.000000,929318400
196608542,449381309,1,1,5.000000,1237680000
196543005,205914897,0,0,5.000000,937872000
202113624,490669017,0,0,5.000000,1078272000
204014160,446759894,0,0,5.000000,1298678400
196936227,394658687,0,4,5.000000,1245715200
189334062,456655886,0,0,5.000000,1246924800
187367946,441844626,3,3,5.000000,1128124800
222429826,476775396,3,6,4.000000,1263945600
199819838,447874009,1,2,5.000000,948758400
215089791,482018226,8,10,1.000000,1122336000
215089791,205914897,0,16,5.000000,1077062400
201065017,471073718,0,0,5.000000,1255392000
221577890,205914897,0,0,5.000000,1083196800
218366596,450233264,4,4,5.000000,1296518400
197591613,473957312,0,0,5.000000,1212192000
230883992,425722787,0,0,2.000000,1342396800
205783640,462422959,1,1,5.000000,1034294400
201785954,205914897,1,1,5.000000,925257600
226886318,383189903,2,2,5.000000,1214179200
196477490,205914897,2,3,5.000000,1170288000
195887657,205914897,2,10,4.000000,1006128000
205062768,205914897,1,1,5.000000,938563200
195756582,387449686,0,0,5.000000,1358294400
208732773,454886324,0,0,5.000000,1082592000
209257051,474481624,0,1,1.000000,1358208000
201196117,424215451,1,1,5.000000,977702400
223478424,479593433,0,3,5.000000,1192147200
196018726,205914897,0,0,4.000000,919036800
196149799,455279547,42,43,5.000000,1073088000
202637928,205914897,5,13,1.000000,937526400
212796029,205914897,4,4,5.000000,926294400
198181444,205914897,3,5,1.000000,919036800
198967888,435749848,0,0,5.000000,1268784000
201720408,205914897,0,0,5.000000,924825600
203948610,441123764,2,3,5.000000,1141948800
201785939,373293870,1,1,4.000000,1296345600
199754291,445711276,0,0,2.000000,1360627200
200933961,424739749,4,6,1.000000,1175644800
199950904,475661238,41,49,5.000000,964915200
226886289,423166881,0,4,4.000000,953596800
200344156,452985749,15,18,5.000000,1047945600
218104467,440533893,4,8,5.000000,1148342400
209650271,403768204,2,3,5.000000,1128902400
199492174,402850678,0,0,5.000000,965088000
199361099,205914897,10,25,3.000000,1061942400
198443581,463078382,21,21,4.000000,1052956800
215679601,408945523,0,0,5.000000,1232236800
238289612,495453203,0,0,2.000000,1347408000
219677289,426115989,0,0,5.000000,1271894400
193724978,205914897,0,2,5.000000,925689600
206176841,419955600,3,5,5.000000,1121644800
190054956,476185575,5,5,4.000000,997920000
200016447,458949596,0,1,3.000000,930355200
215941761,481100776,0,0,5.000000,1227484800
192217631,479331286,5,8,5.000000,1023321600
221446793,447218550,1,3,4.000000,1271980800
192283168,205914897,6,15,2.000000,1017100800
190972428,433587085,15,17,2.000000,1095811200
193004072,455213965,0,0,5.000000,1045094400
193069609,470811635,0,0,3.000000,1200268800
193069609,514458637,0,0,4.000000,1036195200
192610850,205914897,1,5,1.000000,1060992000
211550835,435159927,1,1,5.000000,1125619200
221840034,507184142,6,6,5.000000,1216598400
202179170,205914897,6,14,1.000000,1040515200
202179140,444793752,3,5,4.000000,979171200
187367946,444990399,27,27,3.000000,1041897600
212861558,447284156,3,3,4.000000,1212105600
223347349,417399685,0,0,5.000000,1169510400
218694286,440730526,0,0,5.000000,1358208000
219742832,477758433,1,5,5.000000,1203465600
212664937,502006812,0,0,5.000000,1151280000
212664937,432079741,0,0,5.000000,1152144000
212664937,454951882,0,0,5.000000,1155168000
212664937,465372115,0,0,5.000000,1152403200
212664937,466027464,0,0,5.000000,1155340800
212533877,480248841,0,0,5.000000,1147737600
209912425,420676495,1,2,5.000000,1140652800
225837732,461374347,0,0,5.000000,1238630400
212730478,205914897,2,2,4.000000,1062288000
205914687,457835490,1,1,5.000000,1304467200
221774478,431162251,4,6,5.000000,1138924800
209912435,437060477,1,2,5.000000,1269216000
212664935,205914897,5,9,1.000000,1058572800
229638830,458097606,1,2,4.000000,1218931200
228000403,460915668,8,11,3.000000,1259020800
219153035,499319793,4,9,5.000000,1140048000
232260295,453837748,0,0,5.000000,1209513600
232260295,465568676,0,1,5.000000,1188172800
210109052,485819346,2,2,5.000000,977011200
211485301,452002682,1,2,5.000000,1090108800
211288718,440599467,0,0,5.000000,1311552000
188088841,205914897,0,0,5.000000,928108800
209191533,465634254,1,2,5.000000,1238544000
203489887,490537963,1,1,4.000000,998697600
194380332,205914897,1,2,3.000000,919468800
205587039,205914897,1,2,5.000000,927590400
215745139,457114596,3,4,4.000000,1116028800
205914721,494339059,6,13,2.000000,1023753600
205914721,454099926,0,3,3.000000,1176163200
204931666,447873913,14,20,2.000000,1034380800
205587034,427885384,6,9,5.000000,1168732800
206766700,205914897,0,0,5.000000,931737600
205587012,478348265,2,2,5.000000,1047340800
214958714,450233280,0,0,5.000000,1247097600
219677343,471073747,20,28,1.000000,949017600
223871620,431358867,3,5,4.000000,1188604800
190251529,467993580,0,0,5.000000,1355961600
220267160,419103674,0,7,3.000000,1282262400
190972431,456328082,6,6,5.000000,1103155200
218628713,459342819,7,14,5.000000,991699200
212664954,439092158,0,0,5.000000,1204588800
223216265,448594850,0,0,4.000000,1258934400
199557711,467928006,1,2,4.000000,1008720000
184484354,481756087,1,4,4.000000,1181433600
200606301,433914737,52,53,5.000000,1006560000
208929368,472843217,2,7,5.000000,1304467200
218497639,416088907,1,1,5.000000,1335052800
209388162,480117720,10,14,4.000000,1055376000
212075130,425264034,0,6,1.000000,1352505600
224527002,473695171,0,0,4.000000,1355356800
229769905,441713540,0,0,5.000000,1358726400
226558628,446366647,25,26,5.000000,1176336000
221053569,474481618,0,1,3.000000,1358294400
227541676,205914897,2,3,5.000000,911779200
227541676,480314307,4,24,1.000000,1315612800
220791433,476447713,0,0,5.000000,1168300800
199361067,463340512,3,5,5.000000,1072656000
190972436,484770821,3,3,4.000000,1265760000
220725897,446366657,0,1,3.000000,1184630400
207356521,205914897,0,1,5.000000,984182400
211157629,428671945,2,4,3.000000,1093737600
211550850,439944055,0,0,5.000000,971308800
209519202,332071727,0,0,4.000000,1229558400
218956401,503317525,2,3,3.000000,1340150400
219939465,445186992,1,1,5.000000,1174176000
207553124,455214028,3,5,4.000000,1106265600
204014161,472384457,0,1,4.000000,1075075200
217383569,486867970,3,3,5.000000,1153008000
205521510,205914897,4,13,2.000000,1088640000
213713513,423232386,1,2,5.000000,1207526400
215745107,407307157,1,1,5.000000,1323475200
207291006,444531593,1,4,4.000000,1123804800
214368888,205914897,0,1,4.000000,1018137600
218366611,474940382,2,9,1.000000,1301529600
219742844,419300248,0,0,5.000000,1262390400
218628715,476971982,0,0,5.000000,1355616000
223019674,385483596,2,3,4.000000,1336780800
188088846,472449996,0,1,2.000000,1316476800
207159923,414778259,1,1,4.000000,1134518400
200278605,205914897,3,3,5.000000,1038441600
200147530,389088135,0,0,5.000000,1014768000
183763454,401605498,5,5,3.000000,1033603200
210371162,463864747,0,0,5.000000,1259798400
209191559,461308880,0,0,5.000000,1246838400
224723588,486015996,1,6,2.000000,1356480000
199295544,491914230,2,4,3.000000,967075200
227803822,466355157,5,6,1.000000,1306022400
204800612,205914897,0,1,5.000000,962409600
215941742,449643436,0,0,5.000000,1329177600
206176876,470549429,0,4,4.000000,1046476800
205718116,427492240,0,2,4.000000,965606400
206176875,205914897,0,0,5.000000,958780800
209126003,443745179,2,2,4.000000,1204502400
200213054,420414381,2,2,5.000000,1342310400
200344128,449250213,1,1,4.000000,988848000
200278590,447153064,19,24,2.000000,1151452800
