pid,uid,helpN,helpD,score,time
66484848499051847681,6551525049768466838783808875,5,6,4.0,1089417600
66484853504876496856,65726566706967847869495373,6,11,4.0,1219881600
66484848668848868189,6551658665545085867456497950,0,1,4.0,1010966400
66484848507188577350,6549678856546779497772537373,4,5,3.0,1077926400
66484848485282746779,6550884851815151666681825671,6,7,2.0,1013731200
66484848655578887067,6550827071577673557468737683,2,3,5.0,1169942400
66484848485282746968,6550879069804978875188575451,2,3,1.0,1013126400
66484850885772566769,6549878886507755498672558472,2,6,2.0,1282608000
66484848747453704887,6551654881879085695777495580,3,4,5.0,1240444800
66484848485282747152,6551847276727489696854678368,0,0,5.0,1356566400
66484851867770878671,6549488770676653905065776889,0,0,5.0,1332720000
66484851545584844965,6551685065738049888165908490,6,18,2.0,1156032000
66484851668656735483,65737581665754897968798667,0,0,5.0,1320105600
56484953505250545788,6551667355499087725270707290,0,0,5.0,1246233600
66484848658557858977,6549684969758153707252695590,3,3,5.0,1156550400
66484848658557858977,6550568685498648897082895674,0,0,5.0,1140048000
66484857488880718671,6549816885845070726867748376,5,7,5.0,1141776000
66484857488880718889,6550704877657377518281849072,0,0,5.0,1358380800
66484848747453705783,65904985708078658280906850,15,16,4.0,1015891200
66484848485653827455,6550869073827152727788848548,11,12,1.0,1235606400
66484849497084815289,6551537081694987765265906587,0,0,5.0,955152000
66484848485451877482,65717149877348778085809084,0,0,5.0,1285718400
66484851908757725456,6551837085805185696585716685,26,26,5.0,1282608000
66484848485289655484,65784885806868684972866886,3,5,4.0,1148083200
66484848485267774890,6550815389506977835475688773,1,1,5.0,1320969600
66484848485356657972,65505177708768528266897575,2,2,4.0,1162684800
66484848485378538590,6549807382788149734854888486,1,1,3.0,1085356800
66484848485378538678,6551695590708178745255886655,0,1,2.0,1003536000
66484848485289655679,6550758877558766665170527657,0,0,4.0,1094515200
66484848485267775054,6550845654907889559090688982,0,1,4.0,990403200
66484848485289655680,65837372567657725783895156,0,0,5.0,1095552000
66484848485289655769,6549517250747451716977747849,0,0,4.0,994896000
66484848485289655774,6551846857497790487056558254,0,0,4.0,955497600
66484848485653828049,6549715376745684497371896753,4,6,1.0,1074816000
66484848485565515283,6550908184848467807186748376,1,1,5.0,1037750400
66484853658265668587,6549578567526756795488528478,1,6,4.0,1058140800
66484848485267775354,65534973755456778775865382,11,11,5.0,1016150400
66484848874953885275,6549767256488979797476707980,0,0,5.0,1278028800
66484848508676527473,65697182524871657677687452,1,2,5.0,1088553600
66484848508676527550,6551578152497653847690807552,1,9,2.0,1227571200
66484848485267775653,6550768568735080675565577090,40,52,3.0,951696000
66484848578082855483,65745371846584488378707672,0,0,5.0,1358208000
48564848495052565048,6550485473878356827284667553,0,0,4.0,1240876800
66484848485289656689,6549679087537480788383656549,5,5,5.0,1291334400
66484848485289656689,6550907779844957848551486557,0,2,5.0,1356134400
66484848485289656770,65696686547478715184817051,1,4,4.0,1266105600
66484848485289656769,6551746678848879864985717280,122,127,5.0,1277251200
66484848488969698083,65715755576849515685848274,6,8,2.0,1141430400
66484848485049894968,6551697751764988808478548688,0,0,5.0,1182643200
66484852557267898685,65518557807687898988738550,0,0,5.0,1362182400
66484848805289546769,6549857984714851554851558889,0,8,5.0,1279065600
66484848485267776769,6549678677525055817253506676,3,3,5.0,1336435200
66484848485267776776,6551495775896973659051837978,25,25,4.0,1103241600
66484848716575685777,6550715783748284877648818773,6,7,1.0,1099526400
66484848485389868568,6549565482858784834857839049,0,1,4.0,1320624000
66484848485267776952,656768837365667178698149,1,1,4.0,1281916800
66484848485374894952,6549575484745450515190796984,1,5,4.0,998870400
66484848485049895484,65677366815466815465876986,92,97,5.0,1047945600
66484848485267777088,6550905387856586555777575686,2,5,3.0,1015113600
66484848485389868752,65818049868075495483868777,4,5,3.0,1096156800
66484848485267777256,65496953857982758668715486,10,13,5.0,1107648000
66484848778489904848,6550904850896749697084814984,4,9,5.0,959212800
66484848485267777280,65668886578956777880845171,0,1,4.0,1002672000
66484848485267777448,6551486771546765577751658780,0,0,5.0,1278806400
66484848485267777489,6549666888766590556952778685,16,23,1.0,1342656000
54514848505548565552,6550795271878269846753547865,0,0,5.0,1353801600
66484849536566826950,6551545555905448866781817357,0,0,5.0,1253318400
66484848485470685775,6550904877708979687150485784,4,5,5.0,1253232000
